"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",-80.092551,26.18916,NA,"Pomacanthus paru"
"gbif",-68.294685,12.163436,NA,"Pomacanthus paru"
"gbif",-68.414722,12.269452,NA,"Pomacanthus paru"
"gbif",-68.317594,12.147775,NA,"Pomacanthus paru"
"gbif",-68.281328,12.070439,NA,"Pomacanthus paru"
"gbif",-68.297304,12.188198,NA,"Pomacanthus paru"
"gbif",-68.281417,12.070414,NA,"Pomacanthus paru"
"gbif",-68.232986,12.089982,NA,"Pomacanthus paru"
"gbif",-68.321643,12.210261,NA,"Pomacanthus paru"
"gbif",-86.982979,20.476262,NA,"Pomacanthus paru"
"gbif",-95.928393,19.101232,NA,"Pomacanthus paru"
"gbif",-95.945641,19.098068,NA,"Pomacanthus paru"
"gbif",-95.945364,19.097954,NA,"Pomacanthus paru"
"gbif",-68.268571,12.046461,NA,"Pomacanthus paru"
"gbif",-96.091351,19.177555,NA,"Pomacanthus paru"
"gbif",-85.907189,16.481203,NA,"Pomacanthus paru"
"gbif",-68.230463,12.092656,NA,"Pomacanthus paru"
"gbif",-68.296991,12.188381,NA,"Pomacanthus paru"
"gbif",-81.401495,24.554128,NA,"Pomacanthus paru"
"gbif",-96.120902,19.187476,NA,"Pomacanthus paru"
"gbif",-72.226353,21.789257,NA,"Pomacanthus paru"
"gbif",-81.813743,24.671606,NA,"Pomacanthus paru"
"gbif",-80.376098,25.547598,NA,"Pomacanthus paru"
"gbif",-64.926751,18.361524,NA,"Pomacanthus paru"
"gbif",-81.393967,24.615825,NA,"Pomacanthus paru"
"gbif",-80.031494,26.791133,NA,"Pomacanthus paru"
"gbif",-87.054523,20.362752,NA,"Pomacanthus paru"
"gbif",-68.223742,12.101313,NA,"Pomacanthus paru"
"gbif",-68.337452,12.214933,NA,"Pomacanthus paru"
"gbif",-68.290411,12.1742,NA,"Pomacanthus paru"
"gbif",-87.048767,20.64032,NA,"Pomacanthus paru"
"gbif",-86.8787,20.8063,NA,"Pomacanthus paru"
"gbif",-80.12885,25.763478,NA,"Pomacanthus paru"
"gbif",-86.961731,20.500052,NA,"Pomacanthus paru"
"gbif",-86.864909,20.795659,NA,"Pomacanthus paru"
"gbif",-82.872965,24.62627,NA,"Pomacanthus paru"
"gbif",-80.091994,26.116564,NA,"Pomacanthus paru"
"gbif",-80.06028,25.4064,NA,"Pomacanthus paru"
"gbif",-80.088955,26.125184,NA,"Pomacanthus paru"
"gbif",-86.594841,16.30651,NA,"Pomacanthus paru"
"gbif",-80.090527,26.117362,NA,"Pomacanthus paru"
"gbif",-61.080856,13.864208,NA,"Pomacanthus paru"
"gbif",-80.042447,26.782753,NA,"Pomacanthus paru"
"gbif",-80.042466,26.78229,NA,"Pomacanthus paru"
"gbif",-81.785697,24.545179,NA,"Pomacanthus paru"
"gbif",-64.74347,18.364953,NA,"Pomacanthus paru"
"gbif",-77.401562,18.468374,NA,"Pomacanthus paru"
"gbif",-77.153114,18.42853,NA,"Pomacanthus paru"
"gbif",-78.52524,14.657212,NA,"Pomacanthus paru"
"gbif",-68.300719,12.167494,NA,"Pomacanthus paru"
"gbif",-81.843461,24.462479,NA,"Pomacanthus paru"
"gbif",-80.81423,24.827258,NA,"Pomacanthus paru"
"gbif",-86.594308,16.30328,NA,"Pomacanthus paru"
"gbif",-82.983138,12.302679,NA,"Pomacanthus paru"
"gbif",-67.263787,18.347817,NA,"Pomacanthus paru"
"gbif",-60.824858,11.166789,NA,"Pomacanthus paru"
"gbif",-96.071134,19.201662,NA,"Pomacanthus paru"
"gbif",-80.313465,25.116776,NA,"Pomacanthus paru"
"gbif",-80.047455,26.553406,NA,"Pomacanthus paru"
"gbif",-68.296688,12.188226,NA,"Pomacanthus paru"
"gbif",-87.024254,20.373867,NA,"Pomacanthus paru"
"gbif",-86.945609,20.520922,NA,"Pomacanthus paru"
"gbif",-80.416381,25.070967,NA,"Pomacanthus paru"
"gbif",-69.086786,12.219676,NA,"Pomacanthus paru"
"gbif",-80.079023,25.97502,NA,"Pomacanthus paru"
"gbif",-68.296857,12.188009,NA,"Pomacanthus paru"
"gbif",-68.414083,12.26969,NA,"Pomacanthus paru"
"gbif",-68.276019,12.141763,NA,"Pomacanthus paru"
"gbif",-68.288742,12.171992,NA,"Pomacanthus paru"
"gbif",-38.700433,-17.969668,NA,"Pomacanthus paru"
"gbif",-80.074762,26.307812,NA,"Pomacanthus paru"
"gbif",-66.093478,18.467959,NA,"Pomacanthus paru"
"gbif",-70.013361,12.496945,NA,"Pomacanthus paru"
"gbif",-80.09221,26.188267,NA,"Pomacanthus paru"
"gbif",-80.467155,24.943422,NA,"Pomacanthus paru"
"gbif",-45.288069,-23.843822,NA,"Pomacanthus paru"
"gbif",-86.772778,21.330556,NA,"Pomacanthus paru"
"gbif",-67.101487,18.515186,NA,"Pomacanthus paru"
"gbif",-87.291636,20.428756,NA,"Pomacanthus paru"
"gbif",-87.291373,20.427862,NA,"Pomacanthus paru"
"gbif",-68.288408,12.125549,NA,"Pomacanthus paru"
"gbif",-32.386174,-3.817269,NA,"Pomacanthus paru"
"gbif",-63.255749,17.615941,NA,"Pomacanthus paru"
"gbif",-32.390998,-3.813166,NA,"Pomacanthus paru"
"gbif",-96.09869,19.22676,NA,"Pomacanthus paru"
"gbif",-68.237813,12.05633,NA,"Pomacanthus paru"
"gbif",-68.306778,12.05228,NA,"Pomacanthus paru"
"gbif",-68.280728,12.076536,NA,"Pomacanthus paru"
"gbif",-68.281887,12.083562,NA,"Pomacanthus paru"
"gbif",-68.295071,12.093999,NA,"Pomacanthus paru"
"gbif",-87.034594,20.265281,NA,"Pomacanthus paru"
"gbif",-87.015798,20.448094,NA,"Pomacanthus paru"
"gbif",-66.086804,18.465382,NA,"Pomacanthus paru"
"gbif",-66.086664,18.465517,NA,"Pomacanthus paru"
"gbif",-68.288527,12.170785,NA,"Pomacanthus paru"
"gbif",-80.603554,24.944654,NA,"Pomacanthus paru"
"gbif",-68.28926,12.102552,NA,"Pomacanthus paru"
"gbif",-81.842267,24.466398,NA,"Pomacanthus paru"
"gbif",-68.289688,12.167235,NA,"Pomacanthus paru"
"gbif",-68.282436,12.134059,NA,"Pomacanthus paru"
"gbif",-87.019657,20.44065,NA,"Pomacanthus paru"
"gbif",-87.04364,20.542165,NA,"Pomacanthus paru"
"gbif",-87.027761,20.366579,NA,"Pomacanthus paru"
"gbif",-63.097107,18.037555,NA,"Pomacanthus paru"
"gbif",-44.589005,-23.200999,NA,"Pomacanthus paru"
"gbif",-81.421661,19.375463,NA,"Pomacanthus paru"
"gbif",-63.251662,17.616139,NA,"Pomacanthus paru"
"gbif",-87.029489,20.367938,NA,"Pomacanthus paru"
"gbif",-63.258809,17.637212,NA,"Pomacanthus paru"
"gbif",-63.097878,18.037949,NA,"Pomacanthus paru"
"gbif",-87.005773,20.298511,NA,"Pomacanthus paru"
"gbif",-68.905278,12.090833,NA,"Pomacanthus paru"
"gbif",-80.073045,26.32038,NA,"Pomacanthus paru"
"gbif",-63.135618,18.186256,NA,"Pomacanthus paru"
"gbif",-86.943373,20.523151,NA,"Pomacanthus paru"
"gbif",-63.097154,18.017534,NA,"Pomacanthus paru"
"gbif",-80.09015,25.7006,NA,"Pomacanthus paru"
"gbif",-67.264548,18.349406,NA,"Pomacanthus paru"
"gbif",-80.043419,26.782596,NA,"Pomacanthus paru"
"gbif",-63.259885,17.62829,NA,"Pomacanthus paru"
"gbif",-80.093586,26.187853,NA,"Pomacanthus paru"
"gbif",-66.086819,18.465614,NA,"Pomacanthus paru"
"gbif",-63.104776,18.02507,NA,"Pomacanthus paru"
"gbif",-87.023594,20.37678,NA,"Pomacanthus paru"
"gbif",-64.727767,17.765683,NA,"Pomacanthus paru"
"gbif",-86.999576,20.45683,NA,"Pomacanthus paru"
"gbif",-70.051117,12.599199,NA,"Pomacanthus paru"
"gbif",-80.698307,24.809955,NA,"Pomacanthus paru"
"gbif",-64.925576,18.362046,NA,"Pomacanthus paru"
"gbif",-62.858905,17.907392,NA,"Pomacanthus paru"
"gbif",-62.860757,17.899979,NA,"Pomacanthus paru"
"gbif",-86.99111,20.4611,NA,"Pomacanthus paru"
"gbif",-81.254128,19.271215,NA,"Pomacanthus paru"
"gbif",-80.148446,25.726876,NA,"Pomacanthus paru"
"gbif",-81.281653,19.362881,NA,"Pomacanthus paru"
"gbif",-80.042517,26.784484,NA,"Pomacanthus paru"
"gbif",-40.381076,-20.613017,NA,"Pomacanthus paru"
"gbif",-61.084487,14.535098,NA,"Pomacanthus paru"
"gbif",-61.088814,14.528166,NA,"Pomacanthus paru"
"gbif",-61.430372,15.419121,NA,"Pomacanthus paru"
"gbif",-87.799458,16.744168,NA,"Pomacanthus paru"
"gbif",-61.77559,16.12661,NA,"Pomacanthus paru"
"gbif",-61.77401,16.09591,NA,"Pomacanthus paru"
"gbif",-75.477653,19.886146,NA,"Pomacanthus paru"
"gbif",-87.379128,20.273745,NA,"Pomacanthus paru"
"gbif",-75.477846,19.886146,NA,"Pomacanthus paru"
"gbif",-80.046933,26.770318,NA,"Pomacanthus paru"
"gbif",-86.327606,22.776578,NA,"Pomacanthus paru"
"gbif",-86.934005,16.097358,NA,"Pomacanthus paru"
"gbif",-61.79092,16.1688,NA,"Pomacanthus paru"
"gbif",-61.78873,16.09436,NA,"Pomacanthus paru"
"gbif",-61.78928,16.16965,NA,"Pomacanthus paru"
"gbif",-86.465151,16.343322,NA,"Pomacanthus paru"
"gbif",-63.242833,17.613766,NA,"Pomacanthus paru"
"gbif",-61.087189,14.527656,NA,"Pomacanthus paru"
"gbif",-81.330297,24.597563,NA,"Pomacanthus paru"
"gbif",-81.456463,24.057616,NA,"Pomacanthus paru"
"gbif",-59.639597,13.183112,NA,"Pomacanthus paru"
"gbif",-61.79016,16.16654,NA,"Pomacanthus paru"
"gbif",-68.295011,12.180982,NA,"Pomacanthus paru"
"gbif",-68.298831,12.178423,NA,"Pomacanthus paru"
"gbif",-63.126163,18.043969,NA,"Pomacanthus paru"
"gbif",-70.581803,18.264822,NA,"Pomacanthus paru"
"gbif",-63.071757,18.101036,NA,"Pomacanthus paru"
"gbif",-80.040605,26.78328,NA,"Pomacanthus paru"
"gbif",-64.746873,18.356479,NA,"Pomacanthus paru"
"gbif",-64.745493,18.360605,NA,"Pomacanthus paru"
"gbif",-86.790783,21.000385,NA,"Pomacanthus paru"
"gbif",-77.399833,18.465884,NA,"Pomacanthus paru"
"gbif",-80.043429,26.78256,NA,"Pomacanthus paru"
"gbif",-60.697699,11.277456,NA,"Pomacanthus paru"
